A,B,F,C,H,D,E
0.054402212831213,-0.1719007452744524,0.0944080967823402,0.0480829034292259,0.0108133005078347,0.2098829697622696,0.1626850299743703
-0.1093673519677727,0.247633084406988,0.0824656043860249,-0.0054135525873883,0.2111850064640769,0.3713188437158032,-0.8264349260461187
-0.3736745278799387,-0.2447126363901371,0.0526445363971551,-0.0745978024589765,-0.0905509252279924,0.1592027154409397,-1.1249288806187778
-0.2414242804442148,0.4429539458355898,0.1575244181432828,0.0642871176797558,-0.0499147899082602,0.3398125116552376,-1.54156641526789
-0.0959226044163894,-0.3339318385895041,0.0016788746278027,-0.0782858708191188,-0.1559192810659255,0.2837097784966103,-1.755761233700257
-0.0244269072277449,0.3198881888814984,0.0197252832473631,0.0236515020524323,0.0698920717914872,0.3855298869084103,-1.8540938610411375
-0.5010686272160849,-0.3533098405644729,-0.1194088711520926,-0.1210443207881733,-0.0289708677561777,0.3430563725075276,-1.815718174866046
-0.4049438372769721,0.2761910050942944,-0.063017794819152,0.0633692202638111,-0.0449847032068566,0.3421191672881812,-1.8979292177980915
-0.0905664800511452,-0.2925229233163749,-0.1827527870532223,-0.1022510887234823,0.1127811140686842,0.3300381715537062,-1.8420764899223547
-0.2519955519766972,0.0618932675955975,-0.0760059985087557,-0.0711886598311199,-0.0645139960030059,0.3571062123109939,-1.7002621211605369
-0.3919609648376718,-0.1789783014385626,0.0280295149693845,0.1285132598843571,0.0212753049955295,0.4751066089144971,-1.670601983702245
-0.2293165407723908,0.4215729864005945,-0.0531324782053662,0.0147120436628698,-0.0436200682206064,0.2718221795988867,-1.8301695805607008
-0.1946795706884244,-0.4845934004709795,0.0030363431210664,-0.0647491148998053,0.1463497276564916,0.2571613092696262,-1.6835488629353883
-0.0612143802336254,0.4818342166996434,0.0117078528541541,0.2150932355456898,-0.1883888283144291,0.2796602796399644,-1.5820049083694114
-0.1734601001831767,-0.4312135793782763,-0.0652018111085472,-0.0857138082186598,-0.0720959244131978,0.4926770320890032,-1.680067114467123
-0.4938109535267319,0.3906951818468476,0.0494373353998331,0.0181201967283445,-0.0682823587282749,0.3851197574555063,-1.6643066654257432
-0.3733979838174338,-0.4039380776446883,0.1425315945153993,0.0171058496653477,-0.0215454215973842,0.1481989048344401,-1.730028403834352
-0.0423229624840914,0.4902301431369238,-0.0192827993678226,-0.1318767142295107,-0.0517139883458021,0.5458266514573524,-1.645880412611923
-0.4059084820677541,-0.5597130690678069,0.0928312331804288,-0.1292214214207832,-0.0763484662330577,0.4489890141475893,-1.5616221567138022
-0.4153956612692013,0.4810300695187865,0.22470048043676,-0.0591243589180615,-0.0135483895822199,0.1953412858480119,-1.4511783453886302
-0.2715934524022459,-0.4019190280867735,0.2609524518685013,-0.0135850329600317,0.0134955621142875,0.3071902004457923,-1.2948314509241057
-0.2061674063077694,0.608341189679628,0.1003275670115611,-0.048945568225468,-0.143845764035968,0.4861809950875767,-1.3053583984763633
-0.2153976283859132,-0.5161856392974704,0.1147240216730931,-0.0208514686905044,0.1546001255116319,0.3419620824285885,-1.3469874579847922
-0.1580196453950502,0.5668249713128577,0.0617986530883884,-0.1055799597229844,-0.0187253409723172,0.1829448706290151,-1.2408213844032492
-0.0750503427983182,-0.3932817475020038,0.1871208935016271,0.0184969514533293,-0.1781926153377351,0.383588437044665,-1.2926224956128238
-0.1087129123114167,0.6591325162769319,0.1775874312590198,0.0108915355936471,0.1190925435511445,0.4585160824746154,-1.6020036891989773
-0.3045368353845835,-0.5566280085087101,0.1372348145952423,-0.0325740935001539,0.0204727840466086,0.3513744372028731,-1.4926210689409405
-0.1651810716951981,0.5465946613960175,-0.077938615634757,0.2102044116341057,0.0562312655351935,0.3280391575288273,-1.323074820626514
-0.080702370888998,-0.6036171562554993,-0.3351203354080145,-0.1067322571203199,-0.099995974096788,0.3329179069466136,-1.29041261379471
-0.1171580334041544,0.3637838931579771,-0.259866490349595,-0.0210363320327823,0.1094823711986687,0.5386876802000483,-1.4078843528307956
-0.3155217723888628,-0.6808689614262624,-0.2269881611572847,0.1604345799311708,-0.077141667448204,0.3446310120457371,-1.7221454656651698
-0.306739861537301,0.287093893356583,-0.1912876982943385,-0.1431770880764691,0.0932128779960613,0.4140409106409084,-1.747926545907362
-0.3144866230493278,-0.2571825156153132,-0.0250279141773622,0.2191194393574231,0.0097502712187041,0.2969338961171553,-1.7516012659012516
-0.1502670379706282,0.306507572876841,-0.1478357798349345,-0.0876040874404961,-0.1530702892192701,0.2547264472929739,-1.7805806577251548
-0.4482356195526055,-0.4504735274359792,0.0734475305911312,0.1291182227518796,0.1114884153341738,0.3218598276800974,-1.798220739528125
-0.4940772402778558,0.4508387192351658,-0.0423604345705477,-0.063651636485249,-0.2185092630139149,0.17557670562247,-1.6835864194155443
-0.229119947409239,-0.5025754061785196,-0.0182113536201896,-0.2239094917048455,0.241391816668179,0.4827549772732813,-1.7172614603120038
-0.428807019930327,0.3989154856867873,0.2821333240681429,-0.02954600081868,-0.2053430631767125,0.1744197486497441,-1.6280549011310097
-0.3542215109210751,-0.3852943634011577,0.2226533534534005,-0.0054902026380984,0.1888748649428129,0.5584950907837237,-1.6977498664917805
-0.4577166736538879,0.4585312990258264,0.0717589296681831,0.1760408614003704,-0.0956429553768388,0.0447831580660608,-1.6540337786595185
-0.1896464081755592,-0.3093913227906937,-0.1776101190596606,-0.1129631423376473,0.0085460709980448,0.5583313587694876,-1.5109870589437666
-0.3800814922942658,0.276184370327238,-0.0613113874328985,0.083191195492058,-0.026573515687741,0.0926517103789469,-1.4484061338481824
